lyrics,mood
"Friends told her she was better off at the bottom of a river Than in a bed with him He said ""Until you try both, you won't know what you like better Why don't we go for a swim?"" Well, friends told her this and friends told her that But friends don't choose what echoes in your head When she got bored with all the idle chit-and-chat Kept thinking 'bout what he said  I'll swim even when the water's cold That's the one thing that I know Even when the water's cold  She remembers it fondly, she doesn't remember it all But what she does, she sees clearly She lost his number, and he never called But all she really lost was an earring The other's in a box with others she has lost I wonder if she still hears me  I'll swim even when the water's cold That's the one thing that I know Even when the water's cold If you believe in love You know that sometimes it isn't Do you believe in love? Then save the bullshit questions Sometimes it is and sometimes it isn't Sometimes it's just how the light hits their eyes Do you believe in love?",sadness
"Well I heard it, playing soft From a drunken bar's jukebox And for a moment I was lost In remembering, what I never forgot And I never felt guilt about The trouble that we got into I just couldn't let that honey hide inside of you And just because now it's different Doesn't change what it meant  And when I hear that song You know I'm only gonna Think about one girl I think about you When I sing this song You know I'm only gonna Sing it for one girl Ooh ooh ooh  Well I heard it, playing loud I never knew what it was about Till I fell silent in a crowd I just turned around and walked straight out 'Cause I guess I felt guilty About the trouble that I caused you Putting myself first, just like I always do But that doesn't change how I feel 'Cause when I hear it, it feels real And when I hear that song You know I'm only gonna Think about one boy I think about you And when I sing this song You know I'm only gonna Sing it for one boy Ooh ooh ooh  Well, I can't forget Things you said or your kisses And I keep your secrets Where I keep your promises But you need my confessions About as much as you need my lies And I guess it took that song to make me realize  [Instrumental Break]",sadness
"Oh my god, did I just say that out loud? Should've known this was the kind of place That that sort of thing just wasn't allowed Should've known by the color of the drapes (Oh, my bad, venetian blinds) What the hell was I thinking saying exactly what's on my mind? But I won't deny I got a dirty mouth My mother tried, my father tried, my teachers tried But they couldn't wash it out And look at me now up here running my mouth I just open it up and see what comes running out  Like I give a fuck, like I give a shit Like I give a fuck about that shit Like I give a fuck about that motherfucking shit  And you can tell the president to suck my fucking dick Does that sound intelligent? Like I give a fucking frick Tell the FBI put me on the list because Lennon wasn't this dangerous Call the Christians, tell them all that I'm taller than Jesus They tore down the parking lot and put in a parking lot and what do they got? And if you followed the plot then you know I'm not going to give it a second thought Yeah, let those pigs play because they'll all fucking pay Yeah, karma's a fact, that shit'll come back someday And I'll be like Like I give a fuck, like I give a shit like I give a shit about that fuck Like I give a fuck about that motherfucking shit",joy
"[Verse 1] Remember when I called you on the telephone? You were so far away It was raining in New York, did I forget to say? It was later than I wanted it to be On an early summer's night The kind where you can't help but feel alive and free And I told you ""From here on out, it's just you and me""  [Chorus] Shouldn't we? Should we be? Should we be together for like ever, girl? Shouldn't we? Should we be? Should we be together for like ever, girl?  [Verse 2] We drove across the bridge and I knew that we'd be okay On an early summer's day No clouds up in the sky, did I forget to say? You'd been up all night before I'd barely slept at all It's the kind of thing that's sure to make you feel so small And I asked you ""Do you remember that phone call?"" [Chorus] Shouldn't we? Should we be? Should we be together for like ever, girl? Shouldn't we? Should we be? Should we be together for like ever, girl?  [Bridge] Do you think we should be together? Forever and ever and ever and ever and ever Ever, ever, ever, ever Ever, ever, ever, ever, ever  [Chorus] Should we be? Shouldn't we? Should we be? Should we be together for like ever, girl? (Should we be together?) (Should we be?) Shouldn't we? Should we be? Should we be together for like ever, girl? (Should we be together?) (Forever and ever)  [Outro] Don't you think we should be together? (Should we be together?) Forever and ever and ever, ever and ever (Forever and ever) Ever, ever Don't you think?",joy
"All you writers Get out your pens and write All you writers Get out your pencils and write All you writers Get out your pens and write All you writers Get out your pencils Yeah, all you writers All you writers Yeah, all you writers Get on your horses and ride All you writers  We were hanging out one night inside a bathroom stall She said her favorite Beatles song was ""Wonderwall"" I started to believe it wasn't meant to be When she told me that her favorite one was always Paul  I knew I shouldn't have kissed him in his Chevrolet ""Hot for Teacher"" came on, it was getting late I was about to reach between and ease the seat Until he said he liked them more when they had Sammy Hay Tied to the back of a dog-end day Go all night, go all night long Tied to the back of a dog-end day Go all night, go all night long, night long Tied to the back of a dog-end day Go all night, go all night long Tied to the back of a dog-end day Go all night, go all night long, night long  Tied to the back of a dog-end day Go all night, go all night long, night long (Tied to the back of a dog-end day)  I knew I shouldn't have kissed him I knew (Tied to the back of a dog-end day) (Go all night, go all night long) I knew, I knew I knew, I knew, I knew, I knew, I knew Tied to the back of a dog-end day Go all night, go all night long, night long  I knew I shouldn't have kissed him in his Chevrolet (Go all night, go all night long) ""Hot for Teacher"" came on, it was getting late (Go all night, go all night long, night long) I was about to reach between and ease the seat Until he said he liked them more when they had Sammy Hay Tied to the back of a dog-end day Go all night, go all night long, night long I knew I shouldn't have kissed him I knew (Go all night, go all night long, night long)  Tied to the back of a dog-end",love
"[Verse 1] We've known working in obscurity and we'll know it again We know that they're almost done with what they need from us We know that the only way they'll be back is sometime if and when They know we have something they can sell and turn to dust And turn to dust And turn to dust  [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway?  [Verse 2] We wrote every single note and chord of every single song Lived through every stupid argument about bein' legit About bein' legit About bein' legit [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway?  [Bridge] Infidels, liars and believers Know-it-alls, ingénues and dreamers CEOs, goons, overachievers Future shock something like a fever Something like a fever Something like a fever Something like a fever Something like a fever  [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway? [Outro] If you would've told me how things are If you would've told me how things are If you would've told me how things are",sadness
"One drink, two drinks, three drinks, four She had eyes that I couldn't ignore Chatted her up out on the dance floor She was out of cigarettes so I walked her to the store  Skirt pulled up, pushed up against the wall But she pauses just the take a call Joanne says ""girl, what the fuck are you doing? All these boys are gonna be your ruin""  Now I can't help but overhear As I'm kissing from her neck to her ear Well, if any of them meant it I'd mean it back It never meant anything but a case of the clap Girl please let me call you back Why? 'Cause it's all beginning to sound like a rap  Sometimes it's just one of those nights Ain't you never had it happen to you? Then you go home too soon, go home too soon You could blame it on the music But it wouldn't be right 'Cause I've gotten lucky to some pretty bad tunes  Must be the moon Must be the moon  Kissing in the cab on the way back 'cross the bridge She said ""love is love but a fuck is what it is"" ""And what's that?"" She must have read my mind 'Cause she looked into my eyes and she said ""a good time"" She kissed me on the stairs and she kissed me on the porch She kissed me as I fumbled with the key in the front door One time, two times, three times, four But really, who was keeping score? We did it on the bed and we did it on the floor But I was surprised when I got the cold shoulder (The next morning) She said ""you just got me hot, I finished off while you were snoring""",joy
"No, that's weird  Slyd, slyd, slyd, you like the inside Slyd, slyd, slyd, you like the inside Slyd, slyd, slyd, you like the inside I don't really like you but I like you on the inside  Ain't it funny Ain't it funny Ain't it funny Ain't it funny Ain't it funny (Yeah, that's good) Ain't it funny  Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can- Yeah, that's good And it's a natural fact And it's a natural fact And it's a natural And it's a natural And it's a natural fact  My, my mind is on the inside My, my mind is on the inside My, my mind is on the inside I don't really like you but I like you on the inside  Won't you get down, won't you get down Won't you get down, down on the ground Won't you get down, won't you get down Won't you get down, down on the ground  Ain't it funny Ain't it funny Ain't it funny Ain't it funny Ain't it  Get off of yourself and uhm You go get in love this time You go get in love this time At the REC-Enter You go get around You go around this time At the REC-Enter You go get around You go around this time You go get around You go get around You go get around this",surprise
"Sometimes you don't say nothing 'cause you got nothing to say And sometimes you tell it all 'cause no one's listening anyway And you don't know for certain but you think you might be a bore Don't wanna be nobody's burden so you just hit the dance floor  'Cause the opportunities presented stop you dead, stuttering on the sentences Small talk's asking questions that no one cares about what the answer is  Watching others' conversation from your place against the wall You'd have something worth saying if you could only find a place in the bathroom stall But remember when you come out don't you dare look inside the bathroom mirror What is it what was it and does it even matter anymore?  Hey, am I making any sense at all? Does anyone here speak English? 'Cause everybody's acting like I'm crazy Hey, am I making any sense at all? Is this thing on? Is this thing on?  And I must confess or maybe you've already guessed The you is me, I made up the rest And I must confess or maybe you've already guessed The you is me, I made up the rest (Shh) The voices in my head go ""Doo-doo, doo-doo, doo-doo, do, do, do, do"" (Shh) The voices in my head go ""Doo-doo, doo-doo, doo-doo, do, do, do, do""  (Repeats) And don't you know sometimes I could just kill for a good conversation Hey, am I making any sense at all? Does anybody here speak English? 'Cause everybody's acting like I'm crazy",sadness
"Only takes a little bit of gleam or glimmer Only just a little bit of shake-or-shiver Nothing never matters 'til it's shattered Smothered and covered, splattered all over Manhattan  Sha, sha, sha, sha, sha-doobie Sometimes it's really just like the movies  Was a glimpse, a little bit of nothing make a difference And nothing's been the same since the chain of events It's the place where dreams come true Dreams can still be nightmares too  And ah sha, sha, sha, sha, whoa, whoa So much it's close enough for rock 'n roll  Shoulda known the world was cold, next time you'll pack a sweater Poets from the days of old have never said it better Sometimes it really glitters and sometimes it's even gold Baby when it isn't then it must be rock 'n roll And ah sha, sha, sha, sha, sha-doobie Sometimes it's really just like the movies  Sha, sha, sha, sha, sha-doobie Sometimes you just stay home and watch movies",sadness
